name,folder_path,num_permissions,num_unused,num_high_risk,unused_ratio,credential_theft,financial_data,personal_identity,browsing_tracking,system_control,network_interception,file_data,num_site_hits,label
Kami for Google Chrome™,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ecnphlgnajanjnkcmbpancdjoidceilk\2.0.25028_0,10,0,3,0,0,2,0,3,1,2,0,1,LOW
Keepa - Amazon Price Tracker,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\neebplgakaahbhdphmkckjjcegoiijjo\5.64_0,22,2,17,0.090909091,1,2,0,1,0,1,0,0,LOW
Keeper� Password Manager & Digital Vault,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bfogiafebfohielmmehodmfbbebbbpei\18.0.0_0,17,4,6,0.235294118,0,2,1,3,2,2,0,1,LOW
Keywords Everywhere - Keyword Tool,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hbapdpeemoojbophdfndmlgdhppljgmp\11.53_0,6,0,2,0,0,0,0,0,1,0,0,0,LOW
LastPass: Free Password Manager,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hdokiejnpimakedhajhdlcegeplioahd\4.155.0_0,15,5,5,0.333333333,1,2,0,2,1,1,0,0,LOW
Loom – Screen Recorder & Screen Capture,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\liecbddmkiiihnedobmlmillhodjkdmb\5.5.206_0,15,2,4,0.133333333,1,3,0,2,1,2,0,1,LOW
Mailtrack� ,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ndnaehgpjlnokgebbaldlmgkapkpjkkb\12.91.0_0,13,1,10,0.076923077,0,0,0,0,0,0,0,5,LOW
Maple,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ldlofabknfheicdhcoceihimnccpfamj\1.0.2_0,3,0,0,0,0,0,0,0,1,0,0,0,LOW
McAfee Anti-tracker,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hkflippjghmgogabcfmijhamoimhapkh\1.0.0.1356_0,11,2,6,0.181818182,2,3,1,3,3,2,0,1,LOW
MetaMask,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\cbnmngfnpibbjobleaghjkdlibjhphlf\1.0.3_0,6,3,3,0.5,0,0,0,0,0,0,1,1,LOW
Momentum,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\laookkfknpbbblfpciffpaejjkokdgca\2.27.4_0,3,1,0,0.333333333,0,0,0,0,0,0,0,0,LOW
MozBar,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\eakacpaijcpapndcfffdgphdiccmpknp\5.0.16_0,13,4,10,0.307692308,1,1,0,1,0,0,0,0,LOW
Nimbus Extension,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\objfmikcifoabcepfanenmngecemkmng\2.0_0,4,0,3,0,0,1,0,2,0,1,0,1,LOW
Norton Password Manager,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\admmjipmmciaobhojoghlmleefbicajg\8.3.1.1495_0,10,1,3,0.1,0,2,0,3,1,2,0,1,LOW
Notion Web Clipper,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\knheggckgoiihginacbkhaalnibhilkk\0.2.13_0,8,2,5,0.25,1,1,0,0,1,0,0,0,LOW
OneTab,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\chphlpgkkbolifaimnlloiipkdnihall\2.18_0,7,2,1,0.285714286,0,0,0,1,1,0,0,0,LOW
Page Ruler,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\jcbmcnpepaddcedmjdcmhbekjhbfnlff\0.1.8_0,3,0,0,0,0,0,0,0,1,0,0,0,LOW
PDF Merger,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\nimljidihnlgjnanpiaaaakfmnfocnih\1.0.3_0,4,1,2,0.25,0,1,0,1,0,1,0,1,LOW
Pixel Perfect Extension,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\clnipilleohelandpaijhefjmafmhfje\0.1.2_0,3,0,1,0,0,1,0,1,1,1,0,1,LOW
Postman Interceptor,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\aicmkgpgakddgnaphhhpliifpcfhicfo\3.2.1_0,7,1,5,0.142857143,2,2,0,2,2,1,0,1,LOW
Privacy Badger,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pkehgijcmpdhfbdbbnkijodmdjhbjlgp\2026.8.7_0,9,0,4,0,0,2,1,3,2,2,0,1,LOW
ProWritingAid: Grammar Checker & Paraphrasing Tool,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\npnbdojkgkbcdfdjlfdmplppdphlhhcf\2.8.48222_0,11,2,4,0.181818182,2,2,0,1,1,0,0,0,LOW
Quick Pocket,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\gccdebcpenpmmnaedfmkdhpbnihcdedh\1.8.3_0,6,0,2,0,0,0,0,0,1,0,0,0,LOW
React Developer Tools,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\fmkadmapgofadopljbjfkapdkoienihi\7.0.1_0,4,0,2,0,0,1,0,2,1,1,0,1,LOW
Read Aloud,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hdhinadidafjejdhmfkjgnolgimiaplp\2.24.0_0,9,6,1,0.666666667,0,0,0,0,1,0,0,0,LOW
"Reverso � Translation, dictionary",C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\onhiacboedfinnofagfgoaanfedhmfab\3.12.396_0,7,2,3,0.285714286,1,1,0,1,0,0,0,1,LOW
Reward Transparency & Optimizer,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\cadjjheggoeonnkjppbapoapobhbhiam\0.1.1_0,2,0,0,0,0,0,0,0,0,0,0,0,LOW
"67.	RightInbox: Email Reminders, Tracking, Notes",C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\mflnemhkomgploogccdmcloekbloobgb\11.0.2_0,1,0,1,0,0,0,0,0,0,0,0,0,LOW
RoboForm Password Manager,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pnlccmojcmeohlpggmfnbbiapkmbliob\10.0.0.0_0,15,11,6,0.733333333,2,3,1,3,3,2,0,1,LOW
SafeToOpen Browser Security and Privacy,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ekfkopmgnijagfmjgcjkbffcnmggekec\8.1.0_0,15,4,6,0.266666667,1,2,1,4,2,2,1,1,LOW
Save Emails to Drive by cloudHQ,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\glgaegbgegomicnedooifcbnmppmofkf\1.0.2.23_0,6,1,3,0.166666667,0,0,0,0,1,0,0,1,LOW
Savewise: Stack Cashback Shopping Portals & Maximize Credit Card Rewards,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\mmdidpkgkknffjbnnbpcdpchhbmdmbga\1.12.3_0,7,0,3,0,1,1,0,0,1,0,0,0,LOW
SEOquake: On-Page SEO Checker,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\akdgnmcogleenhbclghghlkkdndkjdjc\4.0.0_0,4,3,3,0.75,0,2,0,3,0,2,0,1,LOW
Session Buddy - Tab & Bookmark Manager,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\edacconmaakjimmfgnblocblbcdcpbko\4.1.2_0,4,1,1,0.25,0,0,0,1,0,0,0,0,LOW
SetupVPN - Lifetime Free VPN,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\oofgbpoabipfcfjapgnbbjjaenockbdp\4.0.9_0,10,2,5,0.2,0,3,0,3,1,3,0,1,LOW
"Similarweb - Website Traffic, AI Traffic & SEO Checker",C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hoklmmgfnpapgjgcpechhaamimifchmp\6.12.22_0,6,1,3,0.166666667,0,2,0,3,1,2,0,1,LOW
Simplify Gmail,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pbmlfaiicoikhdbjagjbglnbfcbcojpj\3.4.9_0,4,1,2,0.25,0,0,0,0,0,0,0,1,LOW
SocialPilot,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\cabldpgmkejdhjbgmeooocablkljdbcg\1.6.2_0,1,1,1,1,0,0,0,1,0,0,0,0,LOW
Speed Dial 2 New tab,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\jpfpebmajhhopeonhlcgidhclcccjcik\4.0.0_0,9,7,3,0.777777778,0,1,0,2,0,1,0,1,LOW
SponsorBlock for YouTube ,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\mnjggcdmjocbbbhaepdhchncahnbgone\6.1.6_0,5,1,2,0.2,0,0,0,0,1,0,0,0,LOW
Spotify Web Player Hotkeys,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pdcbjjmgfakcbbchppeemlfpfgkdmjji\1.4.3_0,3,0,1,0,0,0,0,0,1,0,0,0,LOW
Streak CRM for Gmail,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pnnfemgpilpdaojpnkjdgfgbnnjojfik\7.97_0,10,1,7,0.1,0,0,0,0,2,0,0,3,LOW
Tab Manager by Workona,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ailcmbgekjpnablpdkmaaccecekgdhlh\3.1.33_0,5,2,2,0.4,0,0,1,2,0,0,0,0,LOW
Tab Wrangler,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\egnjhciaieeiiohknchakcodbpgjnchh\8.4.0_0,7,1,1,0.142857143,0,0,0,1,0,0,0,0,LOW
Todoist for Chrome: Planner & Calendar,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\jldhpllghnbhlbpcmnajkpdmadaolakh\12.21.9_0,10,1,5,0.1,0,0,0,1,1,0,0,2,LOW
Toggle JavaScript,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\cidlcjdalomndpeagkjpnefhljffbnlo\2.0_0,2,0,0,0,0,0,0,0,0,0,0,0,LOW
Touch VPN — Приватный VPN для безопасного подключения,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\oiboifjlhhjpikbjfjcgmhlfjnffnpmn\2.7.7_0,2,0,1,0,0,1,0,0,0,1,0,0,LOW
uBlacklist,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pncfbmialoiaghdehhbnbhkkgmjanfhe\10.0.3_0,7,6,0,0.857142857,0,0,0,0,1,0,0,0,LOW
uBlock Origin Lite,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ddkjiahejlhfcafbddmgiahcphecmpfh\2026.825.1619_0,9,5,1,0.555555556,0,1,0,1,1,1,0,1,LOW
URL Cleaner,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\dffbjiomnajbmlhjelpipfldgkijdemn\0.1.0_0,6,3,2,0.5,0,0,0,0,0,0,0,0,LOW
User-Agent Switcher for Chrome,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\djflhoibgkdhkhhcedjiklpkjnoahfmg\2.0.2_0,6,1,2,0.166666667,0,0,0,1,0,0,0,1,LOW
Video Speed Controller,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\nffaoalbilbmmfgbnbgppjihopabppdk\0.11.1_0,1,0,0,0,0,0,0,0,0,0,0,0,LOW
Waltrack | Walmart Price Tracker,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hhafpmbhnjfnlmlmafmbmnpfliohjkkl\6.9.1_0,4,0,3,0,0,0,0,1,0,0,0,0,LOW
Weather extension,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\mfhfabihcpklaoadegkbfpfbenneniad\4.2_0,0,0,0,0,0,0,0,0,0,0,0,0,LOW
WebCopilot.ai - Use GPT on any input box,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\dpbbbjcogocehfjmeggcfncdmijbaimg\2.2.0_0,3,0,2,0,0,1,0,2,0,1,0,1,LOW
What font - font finder,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\opogloaldjiplhogobhmghlgnlciebin\1.0.4_0,4,1,2,0.25,0,1,0,2,1,1,0,1,LOW
Window Resizer,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hgjfanlllikpfpaadggdbchdpcbiaeei\0.1.9_0,2,0,0,0,0,0,0,0,0,0,0,0,LOW
Wordtune: AI Paraphrasing and Grammar Tool,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\nllcnknpjnininklegdoijpljgdjkijc\9.20.0_0,9,4,6,0.444444444,1,1,0,1,1,0,0,1,LOW
youBlock - uBlock Alternative,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ldadnegmmggmmgbijlnmjhcnjcpgkfdj\1.0.3_0,7,1,3,0.142857143,0,2,0,3,1,2,0,1,LOW
